Date,All in employment2,Public sector3,Private sector,"Agriculture, forestry & fishing","Mining, energy and water supply",Manufacturing,Construction,"Wholesale, retail & repair of motor vehicles",Transport & storage,Accommod-ation & food services,Information & communication,Financial & insurance activities,Real estate activities,"Professional, scientific & technical activities",Administrative & support services,Public admin & defence; social security,Education,Human health & social work activities,Other services
Oct-Dec 2002,28163898.0,6480058,21555767,255774.0767646842,409144.58799785096,3815685.8310109847,2182475.9000783367,4243691.306963029,1565465.8159129894,1305589.2366647115,1018189.2604622549,1231822.0066601073,207869.8820864183,1744310.408731636,1277102.2324969922,1838854.4315174734,2474827.386964743,3140684.049021344,1384641.9486736625
Jan-Mar 2003,28001900.0,6560160,21298997,272397.20909340214,377857.8994564052,3653881.304016081,2162776.284452857,4216056.831474845,1546678.6315229505,1309367.3471746794,1004166.6133181386,1252315.023651671,204824.76264887728,1691947.849828639,1264759.9976001885,1860353.4204793521,2537651.910658579,3172078.6133172372,1403659.4333337303
Apr-Jun 2003,28166343.0,6549492,21431136,260424.7358192079,370100.10947409313,3606601.2123527466,2218689.1998196086,4217562.402936045,1586401.1855223353,1276018.429998427,1010065.2441750284,1250661.2232054754,207086.21738542806,1722897.1343946129,1229848.237358577,1866233.2532602458,2584224.9247318613,3218101.2984039746,1476965.9012628582
Jul-Sep 2003,28366093.0,6569176,21654760,276264.26844132686,379493.18261783954,3512353.7299720002,2299576.139043047,4288222.610688572,1542947.6581189793,1339200.2409210342,1033197.8407058858,1271073.7885496195,215921.09628760297,1716683.4485092158,1269601.6653178688,1881475.1616883888,2548673.862807864,3239515.9545721994,1487358.8192793701
Oct-Dec 2003,28357957.0,6660263,21552563,270941.2462471227,358851.81991097936,3431722.5120712034,2279790.120511228,4390062.187302258,1528591.217901636,1314009.519030951,1026513.6008341827,1238187.3444731857,207494.48548594557,1746169.110899103,1241264.1289353494,1888285.7977624033,2598737.506176541,3282317.9418609333,1479619.3172399418
Jan-Mar 2004,28371292.0,6783472,21452200,260871.50243366108,369079.9125084532,3387813.4112788807,2297957.491775945,4242941.69920922,1519825.6569280233,1329056.8140320363,1043955.8846941129,1216481.4529295603,228055.96134730533,1754835.979914503,1255157.2669860777,1887466.8640401897,2699823.775224285,3335542.581272344,1461748.061778774
Apr-Jun 2004,28407112.0,6835813,21450744,263871.6948405892,376690.1458911518,3321163.786869548,2313516.343801503,4245746.558472236,1518488.1969757073,1317716.494904732,1045457.6920309657,1205756.3350295613,244486.58642927074,1721724.0644222896,1267154.20357148,1894290.1182538879,2722029.9780350565,3400655.797046206,1466665.8537139418
Jul-Sep 2004,28627033.0,6871727,21635597,273323.6526971854,409677.7538029463,3394264.0021014074,2372283.2783197234,4251743.400559466,1524790.0358491037,1332919.3306563841,1049147.71842916,1201120.450158388,234272.6261603516,1694511.116594757,1299655.3526910774,1951301.4348268434,2673769.398491989,3418340.79431279,1456861.8829284217
Oct-Dec 2004,28728378.0,6879768,21698937.99999999,271139.24187423405,401085.23294479644,3374983.6745318538,2403103.7014796697,4326120.585770922,1535833.1992684787,1302202.6621389163,1027574.2637959606,1191702.9873038768,241789.87278759395,1722396.2518042915,1323153.8264598185,1923476.1725410463,2717674.417754373,3420375.8342352286,1454597.2746796815
Jan-Mar 2005,28704678.0,6956614,21599022,288285.3700783611,400604.2299587579,3305918.0157329487,2397101.5868213265,4252967.82818572,1534842.1532867055,1301572.919653122,1025729.5361747469,1218869.4748456464,224431.02686793136,1734694.0187972207,1350362.2773629837,1953342.934280953,2733101.0794395227,3468805.116703223,1413240.0476220322
Apr-Jun 2005,28735009.0,6920425,21695437,283625.61230116995,398199.9683062598,3335838.195945175,2383617.9353041695,4212509.222638344,1558138.6439185347,1317485.836211908,1013374.8898348035,1209675.9911597525,239707.27279191205,1755320.8702787668,1337583.9320085393,1938202.6284570105,2767995.5509341145,3478535.3625676758,1431230.751142797
Jul-Sep 2005,29035313.0,7021447,21899878,282980.61409954756,405546.3051312872,3317486.5002471358,2457533.6042712876,4239425.39574909,1576353.49685831,1280530.0675120533,1024144.449124274,1287167.4607466771,248140.2850522839,1782921.7675712386,1325033.5308942506,1982649.3786308165,2718113.289262597,3570662.755436936,1449670.033608276
Oct-Dec 2005,28937601.0,7038690,21782208,288035.6751917229,414658.331366097,3259772.153894258,2409573.7622259534,4201904.970990188,1592620.2514368247,1267225.4917631093,1022014.9100320755,1279326.537859821,256513.97510706424,1818251.079334799,1299468.4026820746,1966960.9316852384,2755395.475105863,3558902.5147648677,1447614.4340167893
Jan-Mar 2006,28965597.0,7129595,21734574,273458.8339260448,403994.484630791,3242257.62060941,2430710.425344105,4163201.297968573,1564378.8758703428,1286199.154323191,1014122.655370455,1269590.6883256992,252492.34657839808,1834586.6160517738,1276161.4177883936,2020439.7380752005,2835613.7002130873,3576129.746832966,1426187.381504708
Apr-Jun 2006,29031509.0,7096078,21824009.99999999,267956.61622707587,414037.0613251219,3285322.3024246595,2460184.568056461,4117074.1135626743,1555409.7585665972,1340232.6614480852,1023900.5238031666,1259102.7495801037,262659.4960717825,1805963.5263910403,1279661.4850515435,1989967.2511274717,2849177.913790372,3579380.004354328,1445883.2442920767
Jul-Sep 2006,29288698.0,7017826,22165387,292940.9596813212,424375.9090342882,3279567.714788859,2510054.9719356378,4154448.7900667354,1573765.049867951,1382265.2937036906,1044787.203705359,1252096.183245476,247681.86410650497,1824492.474527862,1322861.470326273,1970370.2532964246,2758378.9825269943,3630282.752798649,1528164.1833651175
Oct-Dec 2006,29275999.0,6940282,22215556,302313.2879117778,436132.3795110253,3233501.654036311,2542319.606987416,4197541.718540462,1584710.3067165522,1328855.160525525,1057485.937312563,1269627.055940708,248066.12083420434,1825456.4771891537,1328371.1237599975,1962333.2952025614,2813038.092079579,3521510.600949493,1508336.1247114933
Jan-Mar 2007,29108352.0,6954475,22039737.99999999,288188.1916705847,450357.5524050408,3215861.4889618047,2527278.47341866,4120183.4939861544,1565914.9067563505,1323604.0122957625,1056296.6510056572,1263318.705052418,256925.81407777802,1874444.6166053624,1304263.8610912112,1980090.0818225143,2798404.7299816078,3500214.737674643,1472601.5554576053
Apr-Jun 2007,29241891.0,6987465,22131057,294493.2432456306,464488.29111871205,3280944.216210133,2543717.8843058483,4034288.1633916968,1558897.1899170682,1370977.2124080828,1050761.7528226192,1271744.6014852792,245031.8915311495,1882696.8948785102,1347373.0470792432,1984565.0716100137,2822590.621723986,3460671.02995196,1513499.6589151341
Jul-Sep 2007,29524700.0,6919226,22466280,296901.44616867165,468655.1751221472,3268780.971474292,2557784.5368510983,4089639.7669984177,1556144.5176402072,1405893.920071378,1062159.6181639454,1303858.2399105905,265839.49760508747,1911920.0723207083,1431688.878365366,1990251.0878335098,2781541.1656156,3505081.460421295,1512419.4329734123
Oct-Dec 2007,29640043.0,7018223,22478728,307373.72726834274,460541.0331184314,3216098.5069451393,2536993.6128275213,4187089.8049017168,1575699.0995076243,1394921.9508088601,1019461.263936297,1311576.9195116146,278552.21756236546,1952485.3003448988,1399343.1906880846,1996217.3559140475,2839612.6825503977,3530801.1768297213,1516725.4319569925
Jan-Mar 2008,29595718.0,7046824,22404439,334465.74603410374,451836.34395109623,3147716.4043574724,2534500.637570048,4183903.0515506365,1604820.5869113845,1382001.251369569,1024283.920372365,1287794.770571397,263208.97129254864,1939301.7467774905,1398046.829504462,2010853.7454666179,2846845.265207727,3566436.043712456,1509121.9033479164
Apr-Jun 2008,29637062.0,7101476,22382862,320901.71949098114,445926.8387681372,3086949.8439708664,2511934.781780752,4195463.431773918,1589966.0546465593,1355365.1966089467,1032865.5538709505,1286881.417746544,252862.47114651388,1968634.971559765,1416716.1269532237,2035125.4461404972,2861061.8891303437,3642232.789866222,1518743.6688837484
Jul-Sep 2008,29684876.0,7038950,22508320,312942.7842390912,463216.6295927152,3068439.8676909227,2583346.597635122,4248063.513939668,1606063.0255972212,1354779.3889722994,1062625.7750850623,1272402.695175446,259482.39969933438,1918584.5471099596,1403788.6591394227,2032635.8875836623,2805357.009435922,3648056.1416002195,1532551.3803610515
Oct-Dec 2008,29592601.0,7167027,22289297.99999999,306478.53261524154,507279.04463374865,2980566.8710408397,2564194.5065572164,4221459.303129872,1625831.0450154466,1335151.4110057214,1036125.1537598051,1243844.5734458256,252249.9282830543,1849219.4181562157,1347471.9396299322,2036721.1899233381,2848434.0608607917,3747671.755533732,1583571.0403795962
Jan-Mar 2009,29276711.0,7224018,21913472,322145,488927,2856657,2482323,4107092,1571053,1323762,1034945,1226928,273455,1841967,1308801,2009254,2919083,3771845,1579075
Apr-Jun 2009,29003292.0,7237863,21623640,311436,482879,2776762,2385335,3988994,1510484,1360396,1014758,1234855,268092,1882290,1301087,1966733,2928828,3738611,1582599
Jul-Sep 2009,29170239.0,7277501,21744952,328953,490727,2813441,2310547,4031376,1462609,1427926,1020180,1246362,265065,1890017,1301069,1977320,2960471,3778050,1599034
Oct-Dec 2009,29166812.0,7324124,21691148,322604,481861,2798918,2310963,4017107,1455178,1405928,1014172,1223014,253681,1885624,1328080,1944390,3045167,3846393,1579401
Jan-Mar 2010,28923538.0,7254536,21488059,335617,472103,2815337,2208247,3942736,1461739,1387684,1010855,1210484,262581,1881916,1319160,1929872,3062336,3823954,1549366
Apr-Jun 2010,29109713.0,7324762,21586175,341354,462654,2875117,2206970,4004215,1442800,1460792,979488,1174862,262242,1892954,1325506,1925316,3129432,3848401,1531891
Jul-Sep 2010,29483800.0,7298241,21972909,369380,474236,2888377,2233745,4112179,1482721,1502801,1044632,1165454,300742,1851937,1340613,1924567,3119735,3821044,1593722
Oct-Dec 2010,29390416.0,7277523,21929368,366454,488856,2901791,2238124,4082067,1435614,1427103,1029850,1171138,300468,1882366,1379310,1866568,3120342,3883601,1554986
Jan-Mar 2011,29349875.0,7314504,21841817,356839,497141,2860014,2212269,4033871,1451342,1417165,1059342,1179002,299434,1857252,1299005,1875317,3120931,3966535,1544136
Apr-Jun 2011,29366969.0,7183265,22021487,342389,520746,2867708,2198405,4051471,1445046,1458102,1073353,1172977,307621,1851003,1321273,1844396,3129401,3930745,1586935
Jul-Sep 2011,29376000.0,7008901,22215922,369532,518719,2841499,2236778,4018560,1428444,1498462,1060772,1191973,300182,1887545,1339323,1852122,2985907,3981117,1638959
Oct-Dec 2011,29405113.0,6970086,22276329,356532,527373,2883637,2172445,4078049,1432326,1499363,1083175,1215163,293312,1897596,1352920,1864172,3020556,3927079,1583039
Jan-Mar 2012,29365303.0,6951853,22208648,373825,533970,2850520,2147653,4017479,1430081,1437545,1124499,1198746,333335,1903002,1368987,1847435,3087853,3865192,1554030
Apr-Jun 2012,29586796.0,6846229,22516791,353314,532391,2920628,2171348,4102661,1415624,1495973,1098286,1228797,327542,1944914,1356920,1802821,3077511,3871022,1573584
Jul-Sep 2012,29850821.0,6882880,22721632,356085,547039,2934258,2175132,4128903,1457100,1526813,1112535,1216461,329371,1983338,1372235,1827348,3020809,3947590,1606559
Oct-Dec 2012,29974375.0,6983958,22751914,315994,517973,2910541,2149683,4105308,1481764,1523343,1146006,1168889,345927,1967514,1375972,1824172,3139940,3992346,1591552
Jan-Mar 2013,29749654.0,6988667,22503651,304184,536771,2920661,2101798,4031172,1487010,1504047,1160711,1149866,343511,2000310,1354370,1851732,3114273,3985307,1586571
Apr-Jun 2013,29860615.0,6964541,22638175,308134,526473,2867967,2155495,4020841,1455614,1504409,1162233,1144131,343520,2023617,1423040,1864204,3103151,4029281,1591399
Jul-Sep 2013,30194322.0,7012258,22932646,323890,510144,2954199,2188150,3999497,1519764,1565868,1176838,1177527,326031,2073111,1450286,1879816,3081050,4035536,1642299
Oct-Dec 2013,30362490.0,6904037,23225833,321777,511283,2957023,2200228,4097203,1543077,1554521,1197596,1171501,340582,2095782,1436956,1816728,3094342,4068338,1639196
Jan-Mar 2014,30445709.0,6934402,23310965,379340,508028,2945000,2228524,4063024,1489721,1578959,1150225,1171485,368619,2168598,1388192,1851427,3107037,4075830,1663342
Apr-Jun 2014,30627950.0,6936349,23496813,394981,510766,2997245,2216895,3994426,1466504,1632821,1174315,1157591,358608,2140855,1441100,1805992,3217716,4104686,1693439
Jul-Sep 2014,30918227.0,6913562,23807619,385940,543406,3019239,2242370,3976311,1469899,1665360,1236745,1207218,340474,2139248,1487032,1853093,3197325,4062016,1781169
Oct-Dec 2014,31018177.0,6901381,23913534,375277,536583,3077074,2267922,4123925,1479351,1594013,1249875,1182291,339086,2135734,1451603,1798329,3232650,4141833,1752881
Jan-Mar 2015,31074251.0,6979896,23915442,348039,567093,3006583,2265708,4065698,1512029,1617596,1275948,1184504,333526,2189231,1414386,1844723,3284748,4169977,1764677
Apr-Jun 2015,31034988.0,6929401,23913367,339823,552102,3016329,2196192,3998005,1537272,1663294,1242937,1222259,339142,2145591,1499438,1831210,3264501,4154787,1756146
Jul-Sep 2015,31416382.0,6851244,24376821,349226,553088,2967705,2223409,4094746,1575873,1698054,1275257,1253545,347875,2172628,1539113,1840611,3266390,4162330,1812026
Oct-Dec 2015,31614521.0,6899992,24528304,383228,546174,2991675,2264331,4207121,1610246,1638065,1260949,1278727,347031,2204115,1563320,1878399,3328628,4130183,1755714
Jan-Mar 2016,31498983.0,6924050,24414476,351334,528418,3007537,2271479,4130681,1607718,1663046,1225338,1261924,357704,2242994,1524592,1855592,3356519,4142568,1744284
Apr-Jun 2016,31672719.0,6938659,24564012,336956,518847,3033981,2315410,4167240,1608793,1706662,1206500,1269453,355906,2294019,1495542,1897961,3299747,4158241,1773453
Jul-Sep 2016,31890047.0,6908285,24829560,357298,516127,3013189,2290005,4253312,1638204,1766420,1301752,1260131,353587,2249677,1510753,1936202,3336185,4100031,1809281
Oct-Dec 2016,31919549.0,6853290,24897556,374779,527634,2947877,2316241,4225700,1602608,1768210,1320791,1195564,352342,2349587,1530159,1964246,3284159,4147718,1789488
Jan-Mar 2017,31877579.0,6839977,24876430,381177,538821,2907609,2336294,4136058,1559576,1746789,1322533,1194951,369642,2341400,1550961,1952163,3305426,4233579,1767848
Apr-Jun 2017,31995756.0,6873559,24997580,373839,538236,2915396,2327077,4219764,1554326,1807317,1340040,1193521,344734,2329771,1573436,1967521,3262825,4187478,1840042
Jul-Sep 2017,32137770.0,6841081,25175928,352306,526802,2949569,2366799,4194691,1604516,1783580,1272853,1233616,343308,2330947,1589464,2001438,3265886,4183666,1906845
Oct-Dec 2017,32229576.0,6833347,25271161,375208,561063,2950517,2329735,4323350,1580195,1727489,1241806,1241396,354642,2366162,1592307,1999461,3247012,4223511,1881714
Jan-Mar 2018,32277459.0,6970292,25191454,353639,586960,2921938,2331571,4257719,1571773,1718384,1311861,1256209,372311,2363260,1554759,2096924,3236058,4265966,1835114
Apr-Jun 2018,32321179.0,6949029,25254365,350452,584698,2886514,2332520,4225419,1625643,1791296,1317487,1276710,346397,2425068,1567501,2057114,3225181,4223927,1856330
Jul-Sep 2018,32502699.0,6985511,25400843,333898,583560,2881374,2340652,4197673,1626702,1774898,1304665,1383013,353301,2417027,1566577,2127824,3295963,4276693,1795633
Oct-Dec 2018,32670531.0,7039387,25530191,342991,599630,2900651,2405138,4117750,1602324,1739090,1289589,1373178,396615,2431925,1592406,2133633,3377257,4339972,1775423
Jan-Mar 20194 [r] ,32769735.0,7094898,25553112,331723,570990,2962547,2421071,4090121,1557505,1745685,1317504,1290583,378679,2481995,1523265,2106810,3443588,4415177,1881900
Apr-Jun 2019 [r] ,32883950.0,7051117,25705305,345512,551414,3033394,2358791,4064345,1594577,1779144,1337422,1274057,397152,2522637,1559617,2111481,3461086,4379852,1904882
Jul-Sep 2019 [r] ,32923009.0,7069539,25733845,349311,550330,3009656,2334864,4060941,1580227,1827662,1407125,1298854,407377,2554797,1519597,2133247,3448622,4446617,1835273
Oct-Dec 2019 [r] ,33098223.0,7224212,25760971,337907,544988,3022536,2300669,4109081,1575751,1751209,1493982,1267645,387425,2542487,1547634,2140696,3461924,4559079,1907556
Jan-Mar 2020 [r] ,32976793.0,7165522,25692446,322892,545291,2963827,2287260,4003794,1589154,1828873,1500691,1230090,378219,2574368,1565513,2123424,3450371,4574195,1874833
Apr-Jun 2020 [r] ,32553002.0,7349261,25073703,294162,572433,2885047,2196271,3947413,1580704,1703884,1434758,1297284,393006,2539868,1501931,2235984,3433688,4568148,1797119
Jul-Sep 2020 [r] ,32385504.0,7441165,24850947,313631,540116,2745859,2128629,3975646,1573361,1601164,1522568,1330296,400855,2634819,1508612,2236575,3448897,4542271,1773902
Oct-Dec 2020 [r] ,32304394.0,7626170,24583620,316911,581712,2661072,2100820,3855185,1551027,1501735,1534146,1447123,422028,2680346,1410530,2417505,3506481,4435427,1765955
Jan-Mar 2021 [r] ,32319036.0,7730563,24515642,286837,567934,2745013,2110564,3839830,1491429,1464349,1538785,1433263,426415,2711301,1416621,2369282,3515847,4497834,1773768
Apr-Jun 2021 [r] ,32368624.0,7609027,24684032,286335,605649,2706638,2116165,3845317,1480623,1522444,1524022,1425059,410968,2621136,1435129,2387178,3443683,4543148,1871950
Jul-Sep 2021 [r] ,32752237.0,7695809,24934484,288136,639207,2742099,2193612,3863949,1500456,1631765,1571805,1392013,440596,2651995,1464058,2422983,3408385,4592942,1782384
Oct-Dec 2021 [r] ,32765580.0,7799627,24820515,264091,586676,2732310,2149964,3832600,1555265,1643450,1595821,1346429,393412,2679102,1466956,2491188,3506176,4545740,1809963
Jan-Mar 2022 [r] ,32796303.0,7738704,24913048,246421,568100,2770157,2169304,3752302,1584715,1610446,1580375,1355197,388933,2706341,1421055,2496126,3432039,4670270,1858225
Apr-Jun 2022 [r] ,32924122.0,7756814,25010526,252203,551838,2768149,2188594,3591633,1580827,1733661,1648476,1416697,412045,2765335,1439034,2514936,3430912,4665710,1807135
Jul-Sep 2022 [r] ,32953324.0,7795410,24996540,245137,567412,2673121,2145999,3542479,1646830,1738319,1750660,1407838,400401,2789202,1418018,2597919,3418152,4649160,1817083
Oct-Dec 2022 [r] ,33148888.0,7825789,25154991,247279,545398,2694127,2159589,3689821,1645645,1761341,1681767,1392046,407493,2744192,1467174,2666877,3487650,4535356,1826148
Jan-Mar 2023 [r] ,33328558.0,7930863,25197305,264263,521736,2670639,2131323,3700125,1684405,1742909,1654087,1413672,420294,2949031,1467034,2751156,3469435,4474308,1815518
Apr-Jun 2023 [r] ,33275133.0,7869416,25257591,270671,511333,2536298,2165230,3598675,1621497,1673476,1739441,1508618,416101,3038188,1415566,2778259,3357294,4655512,1803628
Jul-Sep 2023 [r] ,33379186.0,7716116,25527907,331612,504518,2508432,2157605,3589037,1668174,1774298,1717008,1509512,402003,3070654,1405903,2663085,3321441,4674636,1921352
Oct-Dec 2023 [r] ,33412059.0,7796730,25494769,322979,552384,2704470,2148220,3568392,1548761,1648261,1659414,1477316,412916,2950512,1553598,2617930,3457723,4774263,1872895
Jan-Mar 2024 [r] ,33334245.0,7814067,25403453,308347,591086,2729067,2099623,3384859,1627901,1523162,1656955,1558969,444890,2990486,1500585,2550350,3482177,4836671,1880223
Apr-Jun 2024 [r] ,33416689.0,7889121,25395651,280561,555913,2737737,2067344,3500518,1626756,1652182,1652897,1485445,394770,2875940,1524163,2552622,3538100,4932070,1879034
Jul-Sep 2024 [r] ,33804351.0,7985745,25710091,292750,567268,2750773,2088302,3602464,1607986,1781062,1665279,1418715,392484,2860395,1486454,2666321,3597517,5027706,1839912
Oct-Dec 2024,33895676.0,7828378,25943311,285938,562626,2710351,2139891,3674863,1703880,1853737,1666355,1433070,390607,3025305,1445119,2701742,3511298,4791767,1813574
